date_stamp;sku;quantity_sold
2022-01-11;10106;10.0
2022-01-11;10113;4.0
2022-01-11;10117;5.0
2022-01-11;10118;1.0
2022-01-11;10146;1.0
2022-01-11;10152;1.0
2022-01-11;10173;1.0
2022-01-11;10189;15.0
2022-01-11;10122;3.0
2022-01-11;10131;1.0
2022-01-11;10202;1.0
2022-01-11;10103;2.0
2022-01-11;10174;3.0
2022-01-11;10220;3.0
2022-01-11;10211;20.0
2022-01-11;10100;18.0
2022-01-11;10107;4.0
2022-01-11;10140;7.0
2022-01-11;10170;2.0
2022-01-11;10119;6.0
2022-01-11;10169;2.0
2022-01-11;10121;1.0
2022-01-11;10190;8.0
2022-01-11;10151;11.0
2022-01-11;10133;8.0
2022-01-11;10120;1.0
2022-01-11;10109;9.0
2022-01-11;10212;5.0
2022-01-11;10175;16.0
2022-01-11;10124;1.0
2022-01-11;10177;1.0
2022-01-11;10150;7.0
2022-01-12;10110;2.0
2022-01-12;10145;2.0
2022-01-12;10112;4.0
2022-01-12;10172;5.0
2022-01-12;10191;2.0
2022-01-12;10126;62.0
2022-01-12;10167;4.0
2022-01-12;10156;5.0
2022-01-12;10179;1.0
2022-01-12;10180;4.0
2022-01-12;10129;3.0
2022-01-12;10157;1.0
2022-01-12;10162;5.0
2022-01-12;10127;10.0
2022-01-12;10160;2.0
2022-01-12;10101;5.0
2022-01-12;10102;5.0
2022-01-12;10106;11.0
2022-01-12;10113;7.0
2022-01-12;10135;3.0
2022-01-12;10117;1.0
2022-01-12;10136;1.0
2022-01-12;10118;1.0
2022-01-12;10104;2.0
2022-01-12;10173;5.0
2022-01-12;10189;29.0
2022-01-12;10122;6.0
2022-01-12;10132;1.0
2022-01-12;10158;1.0
2022-01-12;10131;1.0
2022-01-12;10155;1.0
2022-01-12;10211;6.0
2022-01-12;10213;2.0
2022-01-12;10100;9.0
2022-01-12;10108;4.0
2022-01-12;10107;5.0
2022-01-12;10140;10.0
2022-01-12;10119;10.0
2022-01-12;10169;1.0
2022-01-12;10190;9.0
2022-01-12;10151;14.0
2022-01-12;10133;8.0
2022-01-12;10120;1.0
2022-01-12;10109;2.0
2022-01-12;10212;5.0
2022-01-12;10175;10.0
2022-01-12;10177;2.0
2022-01-12;10150;7.0
2022-01-12;10171;7.0
2022-01-13;10110;3.0
2022-01-13;10145;1.0
2022-01-13;10112;1.0
2022-01-13;10210;1.0
2022-01-13;10217;1.0
2022-01-13;10172;2.0
2022-01-13;10191;2.0
2022-01-13;10126;13.0
2022-01-13;10167;5.0
2022-01-13;10156;1.0
2022-01-13;10179;1.0
2022-01-13;10181;1.0
2022-01-13;10180;2.0
2022-01-13;10129;10.0
2022-01-13;10157;5.0
